[2024-04-28 12:22:44] [INFO] Logging started...
[2024-04-28 12:22:44] [WARNING] This is a test message.
[2024-04-28 12:22:44] [INFO] Another test message.
[2024-04-28 12:22:44] [INFO] Logging finished.
[2024-04-28 17:07:13] [INFO] User logged in
[2024-04-28 17:39:28] [WARNING] Failed login attempt
[2024-04-28 17:40:15] [WARNING] Failed login attempt
[2024-04-28 17:40:48] [INFO] User logged in
[2024-04-28 17:41:23] [INFO] User logged in
[2024-04-29 20:22:40] [WARNING] Failed login attempt
[2024-04-29 20:23:33] [WARNING] Failed login attempt
[2024-04-29 20:24:08] [INFO] User logged in
[2024-04-29 20:24:56] [INFO] User logged in
